generation,best_fitness,avg_fitness,diversity
438,3253166.0,2936739.34,298
439,3253166.0,2941964.3,298
440,3253166.0,2957965.83,296
441,3253166.0,2955447.9516666667,297
442,3253166.0,2949655.9566666665,293
443,3253166.0,2947024.776666667,298
444,3253166.0,2962488.9616666664,296
445,3253166.0,2960676.078333333,297
446,3253166.0,2939026.52,297
447,3253166.0,2946859.995,292
448,3253166.0,2950101.7483333335,298
449,3253166.0,2937405.3133333335,297
450,3253166.0,2952210.99,299
451,3253166.0,2944249.32,299
452,3253166.0,2942942.56,300
453,3253166.0,2948662.526666667,299
454,3253166.0,2935307.6266666665,296
455,3253166.0,2949754.835,297
456,3253166.0,2933069.1233333335,297
457,3253166.0,2950620.12,296
458,3253166.0,2943542.3116666665,297
459,3253166.0,2958043.098333333,291
460,3253166.0,2948209.881666667,295
461,3253166.0,2947112.7383333333,298
462,3253166.0,2932726.7133333334,297
463,3253166.0,2937507.9633333334,296
464,3253166.0,2958493.59,295
465,3253166.0,2944450.3116666665,297
466,3253166.0,2949317.42,295
467,3253166.0,2946297.348333333,297
468,3253166.0,2947348.716666667,300
469,3253166.0,2940916.1483333334,296
470,3253166.0,2942848.33,298
471,3253166.0,2946394.5366666666,296
472,3253166.0,2948758.8633333333,295
473,3253166.0,2948286.328333333,299
474,3253166.0,2942432.0816666665,297
475,3253166.0,2957586.26,297
476,3253166.0,2954472.5233333334,298
477,3253166.0,2960693.425,296
478,3253166.0,2934947.16,300
479,3253166.0,2946705.3933333335,297
480,3253166.0,2932986.86,300
481,3253166.0,2956675.8583333334,296
482,3253166.0,2957076.953333333,297
483,3253166.0,2953975.421666667,295
484,3253166.0,2962787.385,298
485,3253166.0,2970117.236666667,296
486,3253166.0,2942594.526666667,296
487,3253166.0,2937225.91,299
488,3253166.0,2937258.725,298
489,3253166.0,2952313.47,298
490,3253166.0,2944777.485,295
491,3253166.0,2945381.953333333,298
492,3253166.0,2951805.37,298
493,3253166.0,2947483.34,298
494,3253166.0,2951470.283333333,297
495,3253166.0,2942720.225,297
496,3253166.0,2959919.0816666665,299
497,3253166.0,2951781.26,297
498,3253166.0,2938642.9783333335,296
499,3253166.0,2938899.4433333334,298
500,3253166.0,2950939.19,299
501,3253166.0,2953053.401666667,297
502,3253166.0,2947583.605,295
503,3253166.0,2939618.085,297
504,3253166.0,2949492.5383333336,298
505,3253166.0,2947447.0566666666,298
506,3254471.0,2953279.9716666667,296
507,3254471.0,2947711.5283333333,300
508,3254471.0,2953689.553333333,296
509,3254471.0,2940904.0283333333,297
510,3254471.0,2946802.18,297
511,3254471.0,2960145.67,298
512,3254471.0,2954209.3133333335,294
513,3254471.0,2953777.1,299
514,3254471.0,2953318.196666667,299
515,3254471.0,2945033.8983333334,299
516,3254471.0,2954566.345,297
517,3254471.0,2947178.415,295
518,3254471.0,2947126.816666667,300
519,3254471.0,2945864.49,298
520,3254471.0,2954879.638333333,299
521,3254471.0,2945837.17,297
522,3254471.0,2944914.6666666665,298
523,3254471.0,2956982.006666667,299
524,3254471.0,2945169.953333333,300
525,3254471.0,2957736.48,295
526,3254471.0,2954965.5733333332,299
527,3254471.0,2961016.4566666665,296
528,3254471.0,2952184.223333333,299
529,3254471.0,2956381.9633333334,294
530,3254471.0,2950660.8,296
531,3254471.0,2959342.0516666668,298
532,3254471.0,2963409.2783333333,295
533,3254471.0,2954971.9783333335,299
534,3254471.0,2953140.975,295
535,3254471.0,2970914.365,298
536,3254471.0,2958498.095,298
537,3254471.0,2953467.895,296
538,3254471.0,2941406.515,297
539,3254471.0,2950347.625,298
540,3254471.0,2947180.47,299
541,3254471.0,2952696.223333333,299
542,3254471.0,2953878.8183333334,296
543,3254471.0,2969870.0216666665,296
544,3254471.0,2953517.921666667,295
545,3254471.0,2944818.395,297
546,3254471.0,2965847.1933333334,295
547,3254471.0,2948706.7933333335,294
548,3254471.0,2947276.92,295
549,3254471.0,2944990.0616666665,297
550,3254471.0,2953405.2116666664,294
551,3254471.0,2943654.4816666665,297
552,3254471.0,2953721.0166666666,298
553,3254471.0,2965166.815,297
554,3254471.0,2952864.0366666666,297
555,3254471.0,2946941.5166666666,300
556,3254471.0,2956050.8866666667,298
557,3254471.0,2974028.13,300
558,3254471.0,2947999.24,297
559,3254471.0,2940560.39,299
560,3254471.0,2948860.6083333334,298
561,3254471.0,2954803.716666667,300
562,3254471.0,2949256.7533333334,298
563,3254471.0,2940386.453333333,296
564,3254471.0,2934364.785,295
565,3254471.0,2943723.595,295
566,3254471.0,2950330.5383333336,298
567,3254471.0,2943792.045,296
568,3254471.0,2951528.0083333333,297
569,3254471.0,2944742.9716666667,299
570,3254471.0,2958271.1016666666,296
571,3254471.0,2954911.066666667,298
572,3254471.0,2954695.9566666665,295
573,3254471.0,2956306.375,294
574,3254471.0,2968125.015,298
575,3254471.0,2950792.4166666665,297
576,3254471.0,2955849.618333333,299
577,3254471.0,2944217.8016666668,300
578,3254471.0,2947935.84,298
579,3254471.0,2951865.1933333334,297
580,3254471.0,2960487.32,296
581,3254471.0,2961067.65,295
582,3254471.0,2951396.321666667,294
583,3254471.0,2954409.881666667,297
584,3254471.0,2962123.635,297
585,3254471.0,2963587.131666667,295
586,3254471.0,2957817.683333333,296
587,3254471.0,2959333.8966666665,296
588,3254471.0,2969316.691666667,295
589,3254471.0,2938878.68,297
590,3254471.0,2951776.743333333,297
591,3254471.0,2954245.05,293
592,3254471.0,2959428.7266666666,293
593,3254471.0,2954649.5233333334,295
594,3254471.0,2963352.203333333,295
595,3254471.0,2957420.9,297
596,3254471.0,2962750.4316666666,295
597,3254471.0,2955415.441666667,296
598,3254471.0,2956211.86,298
599,3254471.0,2961479.4633333334,294
600,3254471.0,2947073.42,296
601,3254471.0,2955361.83,298
602,3254471.0,2947915.7133333334,298
603,3254471.0,2944328.486666667,296
604,3254471.0,2964793.6033333335,292
605,3254471.0,2951590.9916666667,300
606,3254471.0,2957813.6416666666,296
607,3254471.0,2946383.756666667,296
608,3254471.0,2960372.43,300
609,3254471.0,2962578.7,299
610,3254471.0,2968545.7516666665,295
611,3254471.0,2952066.4133333336,296
612,3254471.0,2953124.3366666664,298
613,3254471.0,2959987.2466666666,296
614,3254471.0,2954306.6266666665,297
615,3254471.0,2955936.5366666666,297
616,3254471.0,2954338.885,295
617,3254471.0,2955093.0,296
618,3254471.0,2954145.9433333334,295
619,3254471.0,2968061.888333333,292
620,3254471.0,2944445.6533333333,298
621,3254471.0,2952959.071666667,297
622,3254471.0,2949776.135,295
623,3254471.0,2961705.37,297
624,3254471.0,2949665.0016666665,296
625,3254471.0,2958837.5366666666,294
626,3254471.0,2970883.495,295
627,3254471.0,2955320.09,294
628,3254471.0,2955288.1466666665,295
629,3254471.0,2948775.91,299
630,3254471.0,2953023.341666667,296
631,3254471.0,2964707.7266666666,298
632,3254471.0,2952516.205,299
633,3254471.0,2949361.6683333335,299
634,3254471.0,2951369.0033333334,294
635,3254471.0,2951408.68,298
636,3254471.0,2940745.8066666666,299
637,3254471.0,2965122.2666666666,296
638,3254471.0,2951395.756666667,298
639,3254471.0,2959797.6016666666,296
640,3254471.0,2954700.946666667,297
641,3254471.0,2959022.825,299
642,3254471.0,2943724.6483333334,297
643,3254471.0,2957149.83,296
644,3254471.0,2942730.9066666667,299
645,3254471.0,2945827.2983333333,297
646,3254471.0,2948920.3133333335,296
647,3254471.0,2949497.506666667,294
648,3254471.0,2959724.585,298
649,3254471.0,2962253.2116666664,295
650,3254471.0,2939703.865,300
651,3254471.0,2950105.4133333336,300
652,3254471.0,2956567.74,296
653,3254471.0,2959239.505,294
654,3254471.0,2950775.5516666668,293
655,3254471.0,2958626.505,296
656,3254471.0,2968053.0216666665,295
657,3254471.0,2974130.4433333334,295
658,3254471.0,2966418.0016666665,297
659,3254471.0,2952492.01,296
660,3254471.0,2957410.473333333,299
661,3254471.0,2961636.1566666667,295
662,3254471.0,2961108.3133333335,297
663,3254471.0,2958480.3516666666,296
664,3254471.0,2962901.223333333,297
665,3254471.0,2969868.865,298
666,3254471.0,2958097.7316666665,299
667,3254471.0,2960797.8333333335,297
668,3254471.0,2962705.1983333332,295
669,3254471.0,2959942.993333333,297
670,3254471.0,2959294.946666667,296
671,3254471.0,2963791.04,298
672,3254471.0,2952684.078333333,294
673,3254471.0,2959479.52,299
674,3254471.0,2966224.683333333,300
675,3254471.0,2967102.08,294
676,3254471.0,2970832.716666667,298
677,3254471.0,2943099.465,295
678,3254471.0,2958774.07,295
679,3254471.0,2957095.9266666668,296
680,3254471.0,2964925.45,296
681,3254471.0,2949134.1683333335,297
682,3254471.0,2977431.7516666665,294
683,3254471.0,2966900.1933333334,296
684,3254471.0,2970428.745,298
685,3254471.0,2975130.776666667,298
686,3254471.0,2948669.131666667,298
687,3254471.0,2966988.55,294
688,3254471.0,2932546.405,296
689,3254471.0,2951095.6033333335,299
690,3254471.0,2951220.135,296
